Name,Link,Rating,Enroll,Instructor,Time,Level,skillrequirement,SkillWillLearn,Description,SkillGain,Subject,Organization,Price,Subtitle,Knowledge,Tool,Framework,Platform,ProgramingLanguage,Practice Task,webname,weburl,NeedKnowledge,NeedPlatform,NeedFramework,NeedProgrammingLanguage,NeedTool
Bacula 1: the open source backup software,https://www.udemy.com/course/bacula-backup-software/,4.2,697,Heitor Faria,8 hours on-demand video,,2 virtual or physical Linux machines for Bacula Director and Client (at least one Debian 7.6 recommended) with 10 Gb free space on disk. 1 virtual or physical Windows Machine (server recommended) with 10 Gb free space on disk,"Make the student ready to fully plan, install, configure and operate a Bacula backup system. Understand the most used backup strategies. Be able to configure the backup for several specific applications (databases, virtual machines etc.).","The course presents the theory and practice of backups, covering installation, recovery, backup specific tools, disaster recovery and many other important aspects of safe and reliable backups. Real situations recording and retrieval data will be simulated. The course is very practical:% theory /% hands-on, and all the commands are availale on the training documentation. Some topics: Backup Theory. Backup Policies. Types, myths, topologies and backup strategies (GFS). Bacula Key Features and Architeture. Bacula Server Installation and Configuration on Linux. Installing and Configuring the Bacula Client (Linux and Windows). Data Compression. Configuration and Operation of: disk storages, magnetic tape drives and autochangers. Bacula Commands. Full and partial data restore. Graphical Interfaces. Bacula Server disasters recovery. Run and After Backup scripts. Specific applications backup: virtual machines, databases, mail servers etc. VolumesCopy and Migration. Files Deduplication. Exercises. Everyone who works with backup or need corporate data protection should do this training in order to know more about the inner workings of this wonderful open source backup tool. It's also great for IT university students and teachers, since it allows it's code studying and modification. Make the student ready to fully plan, install, configure and operate a Bacula backup system. Understand the most used backup strategies. Be able to configure the backup for several specific applications (databases, virtual machines etc.).",,Network & Security,,13.99,English,"data protection, virtual machines,  databases, backup system, graphical interfaces, backup strategies, mail servers, backup policies, backup theory, data compression, databases","windows, linux",,"bacula, bacula server",,"run and after backup scripts, installing and configuring the bacula client, volumescopy and migration, files deduplication",udemy,www.udemy.com,,"LINUX,WINDOWS,BACULA",LINUX,,"LINUX,WINDOWS"
Learning Android Apps Development from Scratch,https://www.udemy.com/course/learning-android-apps-development-from-scratch/,4.0,0,Sarah Alenzei,2.5 hours on-demand video,,No Previous programming skills required,Develop Android App. Publish apps at google play store.,Start your Android Development journey here learn how to create Android Application from Scratch. I will explain every step in a simple way so that anyone with no previous programming skills can followup and end to be an Android Developer. Also you will see the source code of each tutorial below it. And I will be here to answer your Questions. This course is for any one who wants to start android career or to publish their own apps. You will learn how to create and publish your first app. Going from no previous programming skills to android developer. This course will take your from A (creating project) to Z (publishing it on play store). Develop Android App. Publish apps at google play store.,,Mobile Development,,13.99,,android development,,,google play,,"publish apps, publish their own apps, creating project, create android application, create and publish your first app, publishing it on play store, develop android app",udemy,www.udemy.com,PROGRAMMING,,,,
Free Android Development Tutorial - How to publish an Android App on Google Play Store,https://www.udemy.com/course/how-to-publish-an-android-app-the-right-way/,4.5,55,Cristian Gradisteanu,32min,,,,"Ever wanted to know what are the required steps to publish your Android mobile application in the Google Play Store? By taking this course you will find out what these steps are, how to prepare your app for publishing, how to sign up for a Google Publisher account, how to create your store listing and how to publish and update your Android App. Both Android Studio and Eclipse IDE will be used. After watching this course you will be able to:. Find out what are the necessary steps of publishing an Android App. Optimize your Android App before publishing to the Play Store. Use both Android Studio and Eclipse IDE to generate a signed APK. Register for a publisher account with Google. Create the Store Listing for your Android App. Publish your Application on Google Play Store. Update your previous published App. nan",,Other IT & Software,,0.0,English,android app,"android studio, eclipse ide",,google play,,"update your previous published app, generate a signed apk, publish and update your android app, publish your application, sign up for a google publisher account, android app, register for a publisher account, optimize your android app, create your store listing, publish your android mobile application, prepare your app, create the store listing, publishing an android app",udemy,www.udemy.com,,,,,
Bentley STAAD Pro - Structural Analysis & Design Software,https://www.udemy.com/course/staadpro-3d-structural-analysis-and-design-software/,4.2,1,SS eAcademy .,6 hours on-demand video,,Basic knowledge of Structural Analysis and Design. Basic Knowledge of Drafting Software like AutoCAD. You should have basic understanding of computer.. Need Staad Pro Software. You can Download Academic Version.. Basic Understanding of Engineering Design. Know Codal Provision,Introduction of STAAD Pro and Structural Engineering. Create/Modify Beam and Nodes. Apply Different Type of Load and Support to Structure. Apply Different Specification to Structure. Analysis and Design of Steel Structure. Analysis and Design of Concrete Structure. Analysis of Stare Case. Wind Load application to Multi Story Building. Earthquake Load application to Multi Story Building. Understand and interpretation of outcome/Results.,"STAAD Pro stands for Structural Analysis and design. STAAD Pro v8i Software is widely used in analyzing and designing structures � buildings, bridges, towers, transportation, industrial and utility structures. Perform comprehensive analysis and design for any size or type of structure faster than ever before using the new STAAD.Pro V8i.Simplify your BIM workflow by using a physical model in STAAD.Pro that is automatically converted into the analytical model for your structural analysis. Share synchronized models with confidence for multi-discipline team collaboration and, most importantly, deliver safe, cost-effective designs. Introduction of STAAD Pro and Structural Engineering. Create/Modify Beam and Nodes. Apply Different Type of Load and Support to Structure. Apply Different Specification to Structure. Analysis and Design of Steel Structure. Analysis and Design of Concrete Structure. Analysis of Stare Case. Wind Load application to Multi Story Building. Earthquake Load application to Multi Story Building. Understand and interpretation of outcome/Results.",,Business Analytics & Intelligence,,15.99,English,"steel structure, concrete structure, stare case","structural analysis and design, staad pro, staad.pro",,,,"apply different type of load, modify beam and nodes, apply different specification, analysis and design, analyzing and designing structures,  perform comprehensive analysis, multi story building, analysis",udemy,www.udemy.com,"ANALYSIS,SOFTWARE",,,,"STRUCTURAL ANALYSIS AND DESIGN,STAAD PRO,AUTOCAD,ANALYSIS"
Software Testing/ QA: Learn Basic Testing with live examples,https://www.udemy.com/course/software-qa-testing-strong-basics-with-live-examples/,3.6,3,Syam Mohan,2 hours on-demand video,,"Nothing special,  Any one can join!",Writing test cases. Strong testing skills. Good QA knowledge. software QA. live debug/ skills. bug tracking system. software testing. regression testing. manual testing. automation testing basics. JIRA. Testing.,"NOTE: This is a software testing beginner course. This course is for people who like to join IT industry as a software test engineer / people who are eager to learn testing methodologies in quick time. This course covers the need of testing, process involved, different types of testing, JIRA etc we use in testing etc. Please note here we are explaining types of testing with live example codes. Writing test cases. Strong testing skills. Good QA knowledge. software QA. live debug/ skills. bug tracking system. software testing. regression testing. manual testing. automation testing basics. JIRA. Testing.",,Software Testing,,14.99,,"testing, manual testing, automation testing, software testing, testing methodologies, manual , testing , regression testing",jira,,,,"writing test cases, bug tracking, live debug",udemy,www.udemy.com,,,,,
Software Architecture for Developers,https://www.udemy.com/course/software-architecture-for-software-developers/,4.1,1,Jason King,1 hour on-demand video,,"Some knowledge of software design, development or testing is required.",Understand the fundamental principles of software architecture. Know what's involved in becoming a good software architect. Transition from a current software role into a career in software architecture. Capitalize on the great salaries that being a software architect can bring.,"20 years ago I graduated with a first class software engineering degree. Since then I've worked at every stage of the software lifecycle butI've always had a particularinterest in software architecture. If you have a software related background and you're interested in becoming a software architect, this course is definitely for you. Erik N says: ""The course provided a good overview of the topic for which I am interested, namely, software architecture. The content gave me some good ideas, encouragement and new avenues to explore. Sami S says: ""Good starting point to Software Architecture, at least to me who has+ years of software developer background. Jose V says: ""It's a good introductory course, very digestible and serves the purpose. Balint E says: ""It's a good basic introduction to the field. In this course I'll teach you what software architecture is and why we need it. I'll also explain the architecture design process and introduce you to useful patterns, frameworks and standards, which you can refer to and reuse. Becoming a software architect can be both fulfilling and lucrative, so I want to help you achieve this. I now know exactly what's involve and that's what I'll teach you in this course. Even if you're unsure about software architecture and whether you want to become involved in it, I even have a lecture dedicated to allaying any fears you may have. This course consists mainly of video, slides and some fun quizzes. It should only take you a couple of hours to complete, but it'll be a couple of hours very well spent. Thanks for taking an interest in this software architecture course and I look forward to you being my student. Understand the fundamental principles of software architecture. Know what's involved in becoming a good software architect. Transition from a current software role into a career in software architecture. Capitalize on the great salaries that being a software architect can bring.",,Software Architecture,,13.99,English,"useful patterns, software lifecycle, architecture design process, software architecture",,,,,,udemy,www.udemy.com,"TESTING,SOFTWARE",,,,"SOFTWARE DESIGN,TESTING"
Software Architecture for the Enterprise Architect,https://www.udemy.com/course/software-architecture-for-the-enterprise-architect/,4.2,19,Binary Brain,1.5 hours on-demand video,,Basic experience developing software is recommended,"Learn about the enterprise architect role. Enhance your technical skills required to be a good enterprise architect. Learn about different types of UML modelling, and gain experience developing UML diagrams. Learn about different software architecture patterns and where they should be used. Learn to examine a business case and determine key quality attributes from business requirements.","In this course you will learn in detail the software architecture skills required by an enterprise architect, and gain practical experience through course assignments for each section which I will give you feedback on. We will go through all of the core skills that are required in enterprise architecture including: Different architecture patterns and where they should be used. UML modelling of a system from different perspectives. Identifying business requirements. Identifying non-functional requirements. Team Dynamics and more ! The course is structured around both video tutorials explaining different techniques and architecture patterns, together with practical demonstration sessions for the applicable sectionsto make sure that we are able to apply what we have learnt. I'm also available to answer any queries you may have regarding any course material which you didn't understand or would like further detail on. Just in case you're still not convinced if you should take this course, here are a couple of positive reviews from the hundreds I have received on my bestselling, top ratedUdemy courses: ""The course iscomprehensive andwell explained through clear and concise examples, and shows that the instructor is highly experienced in their field. Overall this course is excellent and highly appropriate for software developers looking to improve their architectural and programming skills, both beginners as well as more advanced programmers. I will be looking forward to more courses by the author in the future. "" - J. Fusselberg. ""High quality videos, lectures are clear and to the point. This course is highly recommended for any developer who wants to move on to a senior position or software architect role. However, it will also be a good start for beginner to introduce them to proper coding practices early on. "" - Roberto de Souza. I look forward to seeing you in my course and hearing how the course has helped you progress in your career! Learn about the enterprise architect role. Enhance your technical skills required to be a good enterprise architect. Learn about different types of UML modelling, and gain experience developing UML diagrams. Learn about different software architecture patterns and where they should be used. Learn to examine a business case and determine key quality attributes from business requirements.",,Software Architecture,,15.99,,"non-functional requirements, software architecture, business requirements, uml modelling, enterprise architecture, architecture patterns, functional ",,,,," examine a business case, determine key quality attributes, developing uml diagrams",udemy,www.udemy.com,SOFTWARE,,,,
Learn How to Extract Data From Websites with PHP,https://www.udemy.com/course/learn-how-to-extract-data-from-websites-with-php/,3.8,301,Orhan Do?an,2.5 hours on-demand video,,Basic PHP programming experience. PHP editor,Understand What is Scraping and API. Fetch Data From Websites with PHP. Extract Data From Websites with PHP. Save Extracted Data to MySQL. Use cronjob in Linux.,"Did you need any data from a website? Did you try to fetch and extract data from a website with PHP? Did you write any aggregator and scheduled a cron job before? What about extraction data from HTML, Did you try before? Do you want to collect data from websites and build yours? Fetching data from a website has endless possibilities: exchange rates, country names, product titles, product images, customer comments, song names, links, emails etc... Did you know that you can do it with PHP? In this course you will learn how to fetch data from websites and how to play with it like play dough. You will learn extracting data within HTML which you has been already fetched. It is okey that your target websites has an API, but if they don't have, you can turn that websites into convenient data provider that you can consume whenever you want with PHP. Collect your data put them into Word, Excel or Convert it to PDF or write another HTML on your own way. And also, you can create your brand new web site contains data which you fetched and extracted with PHP. To make being clear everything in your mind, we will create an PHP project towards to end of training. We will be using cron jobs to make everything will be working in auto pilot. Understand What is Scraping and API. Fetch Data From Websites with PHP. Extract Data From Websites with PHP. Save Extracted Data to MySQL. Use cronjob in Linux.",,Web Development,,13.99,English,"api, scraping, pdf","word, cron job, cronjob, linux, mysql, excel",,,"php, html","extracting data, save extracted data, write any aggregator, collect data from websites, fetch data from websites, extract data from websites, fetching data from a website,  using cron jobs, fetch and extract data, create an php project",udemy,www.udemy.com,"PROGRAMMING,PHP",,,PHP,
Create a website without writing code,https://www.udemy.com/course/create-a-website-without-writing-code/,3.9,4,Jake Jorgovan,5 hours on-demand video,,Students will need to set up a trial account at Squarespace,Build a website without writing code. Know how to use the Squarespace platform. How to launch their new website live.,"Squarespace has revolutionized the way that websites are created. You no longer need to be a developer to build a website. Anyone of any skill level can create a beautiful, modern and mobile friendly website on the Squarespace platform. In this course you will learn how to: Set up your account on Squarespace. Navigate through Squarespace's interface and use it's essential features. Add content to your site. Design and stylize your site. Blogging and e-commerce. Launch your website live. This course is targeted for all skill levels: The absolute beginner with no knowledge of web design will find value in this course. The creative professional, designer or advanced web user will find value in the in depth explanation of Squarespace. The course is all taught through live video and screen captures. The course is approximately5 hours in total although some parts are optional depending on the individuals previous knowledge of web design. The course is structured in two sections. The first half is an in-depth walkthrough and tutorials on how to use Squarespace. The second half of the course shows me actually designing a site from beginning to end. Build a website without writing code. Know how to use the Squarespace platform. How to launch their new website live.",,Web Design,,13.99,English,"blogging, e-commerce, web design",,,squarespace,,"designing a site,  launch their new website live, build a website, use the squarespace platform, use squarespace,  create a beautiful, modern and mobile friendly website, set up your account",udemy,www.udemy.com,,,,,
Learn WooCommerce: Build An Ecommerce Website With Wordpress,https://www.udemy.com/course/learn-woocommerce-build-an-ecommerce-website-with-wordpress/,3.9,1,Zachary G.,2.5 hours on-demand video,,Basic knowledge of Wordpress,Setup an online store. Install WooCommerce. Configure payment options. Receive and manage orders. Create discounts and coupons. Tax Settings. Payment Gateway. Shipping Settings. Adding Products. Order Management. WooCommerce extensions.,"Have you ever wanted to make your own online store and sell your own products online? It is not as hard as you might think. If you use Wordpress and WooCommerce you can have a full ecommerce website that allows you to selling anything imaginable, from physical products to digital products. WooCommerce lets you turn your WordPress-powered website into an incredibly user-friendly online store. WooCommerce is a popular plugin and the most trusted ecommerce solution for WordPress. This course will teach you everything you need to know about building an ecommerce website using WooCommerce. This course teaches you the step by step process of how to design and implement the WooCommerce ecommerce plugin. And once you�re set up, this course will help you master WooCommerce so you can start selling online. TOP FEATURES Overhours of content on Learning WooCommerce. Learn WooCommerce Basics � adding products and images, checkout process, managing orders, shortcodes, shipping, taxes, payment gateway configuration, and more. Advanced Techniques � Learn about advanced products types and shipping methods, taxes and tax classes, coupons, order and inventory management, product reviews and more. Setup an online store. Install WooCommerce. Configure payment options. Receive and manage orders. Create discounts and coupons. Tax Settings. Payment Gateway. Shipping Settings. Adding Products. Order Management. WooCommerce extensions.",,E-Commerce,,13.99,English,"ecommerce , ecommerce",woocommerce,,wordpress,,"design and implement the woocommerce, setup an online store, configure payment options, create discounts and coupons, receive and manage orders, make your own online store, install woocommerce, building an ecommerce website",udemy,www.udemy.com,,,,,
