companyName,location,timePost,website,jobType,jobCount,Knowledge,Platform,Framework,ProgrammingLanguage,Tool,date,month,year
AAA Minneapolis,"Saint Louis Park, MN 55416 (Wolfe Park area)",2024-01-14,Indeed,Database Administrator,3,",,BUSINESS INTELLIGENCE,DATA WAREHOUSE,DATA VISUALIZATION,DATABASE,SECURITY,DATA ANALYSIS,DATA VISUALIZATIONS,REPORTING,BI,STATISTICS,DATA ANALYTICS,BUSINESS,MATHEMATICS,VISUALIZATION,VISUALIZATIONS,SQL,MARKETING,INSURANCE,DATA PROTECTION,FUNCTIONAL,DATA ANALYSES,DOCUMENT,DATA QUALITY,ANALYTICS,ANALYSIS,ETL,WAREHOUSE,DATA MANAGEMENT,SOFTWARE",",,GOOGLE ANALYTICS,TABLEAU,DATA ANALYSIS,GOOGLE DATA STUDIO,GOOGLE",",,SSIS,DATA ANALYSIS,DATA VISUALIZATION,DATABASE,TABLEAU,POWER BI,EXCEL,BUSINESS INTELLIGENCE",",,SQL,GOOGLE DATA STUDIO",",,EXCEL,TABLEAU,SSIS,POWER BI,KPIS,BI,DATABASE,DATA WAREHOUSE,DATA ANALYTICS,SECURITY,ETL,DATA VISUALIZATION,STATISTICS,SQL,DATA ANALYSIS,ANALYTICS,REPORTING,BUSINESS INTELLIGENCE,DATA MANAGEMENT,DATA VISUALIZATIONS,DATA QUALITY,ANALYSIS,VISUALIZATION",14,1,2024
ACB - Ngân Hàng TMCP Á Châu,Hồ Chí Minh,2024-01-08,CareerBuilder,Business Analyst,1,"DATABASE,PROGRAMMING,COMPUTER SCIENCE,BUSINESS,SQL,TESTING,ENGLISH,VIETNAMESE,INFORMATION SYSTEM",,DATABASE,SQL,"DATABASE,SQL,VIETNAMESE,ENGLISH,DATABASE SCHEMA,TESTING",8,1,2024
ADPMN IT SOLUTIONS,Georgia,2024-01-14,Indeed,Database Administrator,1,,,,,,14,1,2024
"ADS, Inc.","Austin, TX",2024-01-14,Indeed,Frontend Developer,1,"COLOR,WEB DEVELOPMENT,WEB DESIGN,MOBILE APPS,DEVELOPMENT PROCESS,MOBILE APPLICATIONS,USER INTERFACE,COMPUTER SCIENCE,SEO,INFORMATION SYSTEMS,FUNCTIONS,BUSINESS,MATHEMATICS,SQL,TESTING,FUNCTIONAL,ANALYSIS","WEB DEVELOPMENT,REACT",REACT,"SQL,PYTHON,JAVASCRIPT,HTML,CSS,JS","ADOBE ILLUSTRATOR,WEB DEVELOPMENT,SQL,WEB DESIGN,TESTING,ANALYSIS,STACK",14,1,2024
"ADS, Inc.","Austin, TX",2024-01-14,Indeed,Mobile Developer,1,"COLOR,WEB DEVELOPMENT,WEB DESIGN,MOBILE APPS,DEVELOPMENT PROCESS,MOBILE APPLICATIONS,USER INTERFACE,COMPUTER SCIENCE,SEO,INFORMATION SYSTEMS,FUNCTIONS,BUSINESS,MATHEMATICS,SQL,TESTING,FUNCTIONAL,ANALYSIS","WEB DEVELOPMENT,REACT",REACT,"SQL,PYTHON,JAVASCRIPT,HTML,CSS,JS","ADOBE ILLUSTRATOR,WEB DEVELOPMENT,SQL,WEB DESIGN,TESTING,ANALYSIS,STACK",14,1,2024
ALT America,United States,2024-01-14,Indeed,Database Administrator,1,,,,,,14,1,2024
ANOTECH Singapore,Singapore,2024-01-11,Glint,Backend Developer,3,",,",",,",",,",",,",",,",11,1,2024
ANOTECH Singapore,Singapore,2024-01-11,Glint,Data Engineer,3,",,",",,",",,",",,",",,",11,1,2024
ANOTECH Singapore,Singapore,2024-01-11,Glint,Devops Engineer,3,",,",",,",",,",",,",",,",11,1,2024
ANOTECH Singapore,Singapore,2024-01-11,Glint,Frontend Developer,3,",,",",,",",,",",,",",,",11,1,2024
ANOTECH Singapore,Singapore,2024-01-11,Glint,Mobile Developer,3,",,",",,",",,",",,",",,",11,1,2024
ANOTECH Singapore,Singapore,2024-01-11,Glint,Network Engineer,3,",,",",,",",,",",,",",,",11,1,2024
ANOTECH Singapore,Singapore,2024-01-11,Glint,Software Architect,2,",",",",",",",",",",11,1,2024
ANOTECH Singapore,Singapore,2024-01-11,Glint,Software Engineer,4,",,,",",,,",",,,",",,,",",,,",11,1,2024
ANOTECH Singapore,Singapore,2024-01-11,Glint,UI Designer,1,,,,,,11,1,2024
ARK Solutions,"Remote in Dimondale, MI",2024-01-14,Indeed,Software Architect,1,,,,,,14,1,2024
ASRC Federal Holding Company,Remote,2024-01-14,Indeed,Tester,1,"SOFTWARE TESTING,API,WEB SERVICES,REGRESSION,FUNCTIONS,COMPLIANCE,TESTING,MANUAL,FUNCTIONAL,PERFORMANCE,DOCUMENT,SOFTWARE","AZURE,API,CLOUD",,AZURE,"API,REGRESSION,SOFTWARE TESTING,PERFORMANCE,COMPLIANCE,TESTING,EVALUATION,CLOUD",14,1,2024
ASSA ABLOY,"Phoenix, AZ 85044 (Ahwatukee Foothills area)",2024-01-14,Indeed,UI Designer,1,"UX DESIGN,COMPUTER SCIENCE,FACTORS,COMPLIANCE,FUNCTIONAL,SOFTWARE",CLOUD,,"JAVASCRIPT,CSS","FIGMA,COMPLIANCE,CLOUD",14,1,2024
ASUS Computer International,"Fremont, CA 94538",2024-01-14,Indeed,Database Administrator,1,"DATABASE,DBMS,DATABASE DESIGN,BACKUP,RECOVERY,SECURITY,COLOR,DATABASES,PROGRAMMING,COMPUTER SCIENCE,STATISTICS,MODELING,COMPLIANCE,DATA SECURITY,SQL,INSURANCE,TESTING,TROUBLESHOOTING,PERFORMANCE,DATABASE SYSTEMS,SECURITY MANAGEMENT,MANAGEMENT SYSTEMS,DATABASE MANAGEMENT SYSTEM,SOFTWARE,OPERATING SYSTEM","LINUX,MYSQL","MYSQL,MICROSOFT SQL SERVER,SQL SERVER,LINUX,DATABASE,DBMS,DATABASE MANAGEMENT SYSTEMS","SQL,T-SQL,MYSQL","MICROSOFT SQL SERVER,MYSQL,SQL SERVER,ORACLE,LINUX,DATABASE,SECURITY,MONITORING,RECOVERY,BACKUP,STATISTICS,SQL,DATABASE MIGRATION,PERFORMANCE TUNING,MAINTENANCE,DATABASE MANAGEMENT,DATABASE DESIGN,DATABASES,DATABASE MANAGEMENT SYSTEMS,MONITOR,BACKUP AND RECOVERY,PERFORMANCE,DATABASE PERFORMANCE,STORAGE,DATABASE MANAGEMENT SYSTEM (DBMS),DATABASE SYSTEMS,DBMS,DATABASE BACKUP AND RECOVERY,DATA SECURITY,COMPLIANCE,TESTING,BASE",14,1,2024
AT&T,"Atlanta, GA",2024-01-14,Indeed,Data Engineer,1,"AGILE,STATISTICAL,MACHINE LEARNING,SECURITY,DATA ANALYSIS,DOMAIN,COLOR,INTERNET,COMPUTER SCIENCE,STATISTICS,DATA SCIENCE,BUSINESS,MATHEMATICS,MODELING,SQL,AI,DATA WAREHOUSING,SOFTWARE DEVELOPMENT,NEURAL NETWORKS,MARKETING,INSURANCE,DATA ENGINEERING,VIRTUAL ASSISTANT,PERFORMANCE,DOMAINS,SUPERVISED,DATA SETS,DATA QUALITY,PREDICTIVE,ANALYTICS,ANALYSIS,MATH,MODELLING,SOFTWARE,NLP,CONNECTIVITY","AWS,AZURE,HADOOP,MYSQL,DATA ANALYSIS,CLOUD","HADOOP,MYSQL,DATA ANALYSIS","SQL,PYTHON,T-SQL,MYSQL,AWS,AZURE,HADOOP","MYSQL,SOFTWARE DEVELOPMENT,AI,DATA WAREHOUSING,SECURITY,MACHINE LEARNING,SUPERVISED,NEURAL NETWORKS,MODELLING,STATISTICS,SQL,DATA ANALYSIS,ANALYTICS,DATA ENGINEERING,JUPYTER,AGILE,PERFORMANCE,CLOUD,DATA QUALITY,ANALYSIS,DATA SCIENCE,STATISTICAL",14,1,2024
AT&T,"Columbia, MD",2024-01-14,Indeed,Web Development,1,"COLOR,WEB DEVELOPMENT,PROFESSIONAL SERVICES",WEB DEVELOPMENT,,,WEB DEVELOPMENT,14,1,2024
AT&T,"Dallas, TX",2024-01-14,Indeed,Software Engineer,1,"DESIGN PATTERNS,UI,MICROSERVICES,RESTFUL API,CI/CD,PERFORMANCE TESTING,COLOR,API,APIS,INTERNET,HTTP,COMPUTER SCIENCE,INFORMATION SYSTEMS,BUSINESS,REST APIS,INSURANCE,TESTING,TROUBLESHOOTING,PERFORMANCE,TRANSFORM,SOFTWARE,CONNECTIVITY","KUBERNETES,AWS,AZURE,NODEJS,NODE.JS,API","ANGULAR,JENKINS","JAVASCRIPT,TYPESCRIPT,NODE.JS,JS,AWS,DOCKER,AZURE,KUBERNETES","JENKINS,DOCKER,NODE.JS,KUBERNETES,GRAFANA,PROMETHEUS,MICROSERVICES,REST APIS,DESIGN PATTERNS,API,MONITORING,JMETER,RESTFUL API,MICROSERVICES ARCHITECTURE,APIS,TRANSFORM,PERFORMANCE,HTTP,TESTING,STACK",14,1,2024
AT&T,"Lorton, VA 22079",2024-01-14,Indeed,Network Engineer,1,,,,,,14,1,2024
ATC,Remote,2024-01-14,Indeed,Database Administrator,1,"DATABASE,DATABASE DESIGN,SECURITY,RELATIONAL DATABASE,DATABASES,AUTHORIZATION,INFORMATION SYSTEMS,BUSINESS,COMPLIANCE,GOVERNANCE,SQL,TESTING,BUSINESS REQUIREMENTS,PERFORMANCE,DOCUMENT,DATABASE SYSTEMS,RELATIONAL,ANALYSIS","AZURE,MICROSOFT AZURE","MICROSOFT SQL SERVER,SSIS,SQL SERVER,REQUESTS,DATABASE,SSRS","SQL,T-SQL,AZURE,MICROSOFT AZURE","MICROSOFT SQL SERVER,SSIS,SSRS,SQL SERVER,DATABASE,SECURITY,SQL,RELATIONAL,DATABASE DESIGN,RELATIONAL DATABASE DESIGN,DATABASES,QUERY OPTIMIZATION,PERFORMANCE,RELATIONAL DATABASE,DATABASE ARCHITECTURE,DATABASE SYSTEMS,AUTHORIZATION,GOVERNANCE,COMPLIANCE,TESTING,EVALUATION,ANALYSIS",14,1,2024
